swc_name,dangling_branch,root_node_jump,z_jumps,narrow_start,fat_ends,has_all_nonzero_segment_lengths,narrow_neurite_section,single_child,multifurcation,number_of_dendritic_trees_steaming_from_the_soma,number_of_axons,max_branch_order,total_section_length,max_section_length
17302_00001,0,0,0,0,0,0,0,0,0,7,1,26,38945.46027,5101.311035
17302_00002,0,0,0,0,0,0,0,0,0,2,1,21,46407.35217,6124.973633
17302_00003,0,0,0,0,0,0,0,0,0,6,1,25,39038.06844,3916.410156
17302_00005,0,0,0,0,0,0,0,0,0,5,1,24,44300.21527,2803.768066
17302_00006,0,0,0,0,0,0,0,0,0,4,1,27,41268.28257,2872.833008
17302_00007,0,0,0,0,0,0,0,0,0,5,1,28,41372.99586,5995.566895
17302_00009,0,0,0,0,0,0,0,0,0,4,1,27,36915.87461,4446.642578
17302_00010,0,0,0,0,0,0,0,0,0,4,1,20,37677.99173,5247.743652
17302_00011,0,0,0,0,0,0,0,0,0,4,1,14,38451.25083,5591.067383
17302_00013,0,0,0,0,0,0,0,0,0,3,1,30,40499.63545,2824.024902
17302_00014,0,0,0,0,0,0,0,0,0,6,0,33,64547.83086,2923.93042
17302_00015,0,0,0,0,0,0,0,0,0,7,0,24,74022.76317,1685.351318
17302_00016,0,0,0,0,0,0,0,0,0,4,1,27,65687.9552,2218.115723
17302_00017,0,0,0,0,0,0,0,0,0,8,1,30,57813.42247,1498.150635
17302_00018,0,0,0,0,0,0,0,0,0,4,1,30,130527.6425,1779.071777
17302_00020,0,0,0,0,0,0,0,0,0,6,1,44,127835.461,5372.814453
17302_00023,0,0,0,0,0,0,0,0,0,7,1,46,153463.6103,4320.208984
17302_00024,0,0,0,0,0,0,0,0,0,1,1,31,128455.7546,5869.359863
17302_00025,0,0,0,0,0,0,0,0,0,4,0,55,186725.7049,4971.608398
17302_00027,0,0,0,0,0,0,0,0,0,4,1,20,39073.42217,7495.976563
17302_00030,0,0,0,0,0,0,0,0,0,3,0,20,59886.334,2313.263184
17302_00031,0,0,0,0,0,0,0,0,0,4,1,26,46001.73686,6603.641602
17302_00032,0,0,0,0,0,0,0,0,0,4,1,21,68575.45996,1499.38623
17302_00033,0,0,0,0,0,0,0,0,0,7,1,23,75860.46134,2149.000977
17302_00035,0,0,0,0,0,0,0,0,0,8,1,29,107722.1893,5552.663086
17302_00036,0,0,0,0,0,0,0,0,0,10,1,36,124567.2101,4274.104004
17302_00037,0,0,0,0,0,0,0,0,0,7,1,61,85496.7292,3290.833496
17302_00038,0,0,0,0,0,0,0,0,0,9,1,29,91049.51601,3093.373535
17302_00039,0,0,0,0,0,0,0,0,0,7,0,37,105520.2877,3983.58252
17302_00040,0,0,0,0,0,0,0,0,0,7,0,49,135268.3089,16054.82031
17302_00041,0,0,0,0,0,0,0,0,0,8,0,33,98511.29101,7248.625
17302_00043,0,0,0,0,0,0,0,0,0,7,0,42,88964.77906,1436.183838
17302_00044,0,0,0,0,0,0,0,0,0,7,1,14,86917.7761,4201.31543
17302_00045,0,0,0,0,0,0,0,0,0,5,0,23,53641.75341,1921.4729
17302_00046,0,0,0,0,0,0,0,0,0,3,0,28,58459.04015,3589.952393
17302_00047,0,0,0,0,0,0,0,0,0,2,1,20,79860.6077,3102.787842
17302_00048,0,0,0,0,0,0,0,0,0,5,1,20,76874.74103,18288.99609
17302_00049,0,0,0,0,0,0,0,0,0,7,1,27,98552.04591,10954.10742
17302_00050,0,0,0,0,0,0,0,0,0,4,0,18,71854.59946,2302.807129
17302_00052,0,0,0,0,0,0,0,0,0,4,1,32,108669.3513,8715.818359
17302_00053,0,0,0,0,0,0,0,0,0,7,1,48,114429.5167,6578.830078
17302_00054,0,0,0,0,0,0,0,0,0,7,1,63,243704.3743,3403.796875
17302_00055,0,0,0,0,0,0,0,0,0,6,0,24,73831.03184,1844.566895
17302_00056,0,0,0,0,0,0,0,0,0,3,0,36,68399.62074,1415.284302
17302_00057,0,0,0,0,0,0,0,0,0,6,0,31,86050.93549,1454.189209
17302_00059,0,0,0,0,0,0,0,0,0,5,1,16,59305.01899,1838.312012
17302_00062,0,0,0,0,0,0,0,0,0,5,1,16,42133.69978,1743.895752
17302_00063,0,0,0,0,0,0,0,0,0,3,0,14,56911.55256,5535.173828
17302_00064,0,0,0,0,0,0,0,0,0,7,0,21,79043.0797,10864.9668
17302_00065,0,0,0,0,0,0,0,0,0,5,0,37,110075.594,24610.76758
17302_00066,0,0,0,0,0,0,0,0,0,9,1,38,103130.7099,3903.379883
17302_00074,0,0,0,0,0,0,0,0,0,6,0,29,80800.63864,1872.855469
17302_00075,0,0,0,0,0,0,0,0,0,7,1,36,86366.30899,1981.267944
17302_00077,0,0,0,0,0,0,0,0,0,8,1,26,73285.49495,5196.299805
17302_00079,0,0,0,0,0,0,0,0,0,10,1,47,124116.8158,5478.00293
17302_00081,0,0,0,0,0,0,0,0,0,4,1,35,39762.94093,2675.737549
17302_00085,0,0,0,0,0,0,0,0,0,5,1,19,89779.78327,1619.612061
17302_00086,0,0,0,0,0,0,0,0,0,4,0,31,57148.7534,7087.732422
17302_00087,0,0,0,0,0,0,0,0,0,4,0,16,15669.25505,3264.176025
17302_00091,0,0,0,0,0,0,0,0,0,5,1,19,83423.68048,1951.634766
17302_00093,0,0,0,0,0,0,0,0,0,4,1,13,31909.83098,10337.69141
17302_00094,0,0,0,0,0,0,0,0,0,5,1,17,26476.516,5239.538574
17302_00095,0,0,0,0,0,0,0,0,0,3,0,24,37479.89213,5208.786133
17302_00096,0,0,0,0,0,0,0,0,0,4,0,28,48280.19041,3501.325195
17302_00097,0,0,0,0,0,0,0,0,0,5,1,14,29946.99714,5100.220703
17302_00098,0,0,0,0,0,0,0,0,0,4,1,26,81812.51966,1880.35083
17302_00099,0,0,0,0,0,0,0,0,0,8,0,35,47067.61528,2175.686523
17302_00101,0,0,0,0,0,0,0,0,0,3,0,19,66940.96016,4033.268799
17302_00102,0,0,0,0,0,0,0,0,0,4,0,19,53334.88505,1583.349854
